theme,date,share
Trump & Trump Family (core),2024-01-01,0.0065926673393878
Trump & Trump Family (core),2024-01-02,0.0076957580981363
Trump & Trump Family (core),2024-01-03,0.0130549607423269
Trump & Trump Family (core),2024-01-04,0.0135329501714911
Trump & Trump Family (core),2024-01-05,0.0149813670810094
Trump & Trump Family (core),2024-01-06,0.0170661067265223
Trump & Trump Family (core),2024-01-07,0.0089797766374886
Trump & Trump Family (core),2024-01-08,0.0093034433039239
Trump & Trump Family (core),2024-01-09,0.0107769437692797
Trump & Trump Family (core),2024-01-10,0.014467373184808
Trump & Trump Family (core),2024-01-11,0.0145728900255754
Trump & Trump Family (core),2024-01-12,0.0091876601319313
Trump & Trump Family (core),2024-01-13,0.0120217315917235
Trump & Trump Family (core),2024-01-14,0.0128716234335055
Trump & Trump Family (core),2024-01-15,0.0111561646992733
Trump & Trump Family (core),2024-01-16,0.0185729441449707
Trump & Trump Family (core),2024-01-17,0.014516163425452
Trump & Trump Family (core),2024-01-18,0.0096392959263849
Trump & Trump Family (core),2024-01-19,0.0097503175242402
Trump & Trump Family (core),2024-01-20,0.011738248973542
Trump & Trump Family (core),2024-01-21,0.0129241843507525
Trump & Trump Family (core),2024-01-22,0.0147276648324238
Trump & Trump Family (core),2024-01-23,0.0132116282371412
Trump & Trump Family (core),2024-01-24,0.0135701021704645
Trump & Trump Family (core),2024-01-25,0.0143015585780164
Trump & Trump Family (core),2024-01-26,0.0120406091370558
Trump & Trump Family (core),2024-01-27,0.0113050389053518
Trump & Trump Family (core),2024-01-28,0.0084518329388523
Trump & Trump Family (core),2024-01-29,0.0090211717138149
Trump & Trump Family (core),2024-01-30,0.0102138772476723
Trump & Trump Family (core),2024-01-31,0.0103327972816301
Trump & Trump Family (core),2024-02-01,0.0090722204977129
Trump & Trump Family (core),2024-02-02,0.012102562895672
Trump & Trump Family (core),2024-02-03,0.0102942392865468
Trump & Trump Family (core),2024-02-04,0.0107450991689112
Trump & Trump Family (core),2024-02-05,0.010406587822552
Trump & Trump Family (core),2024-02-06,0.0142031863287258
Trump & Trump Family (core),2024-02-07,0.0137139132287866
Trump & Trump Family (core),2024-02-08,0.0157164299232124
Trump & Trump Family (core),2024-02-09,0.0153602141210874
Trump & Trump Family (core),2024-02-10,0.0120938228735808
Trump & Trump Family (core),2024-02-11,0.0114021731607723
Trump & Trump Family (core),2024-02-12,0.0095574447943784
Trump & Trump Family (core),2024-02-13,0.0134923710689115
Trump & Trump Family (core),2024-02-14,0.0113153050212657
Trump & Trump Family (core),2024-02-15,0.0130288255014237
Trump & Trump Family (core),2024-02-16,0.0147980027235587
Trump & Trump Family (core),2024-02-17,0.0148397999466341
Trump & Trump Family (core),2024-02-18,0.0094001341774689
Trump & Trump Family (core),2024-02-19,0.0086443799761087
Trump & Trump Family (core),2024-02-20,0.0087965173165186
Trump & Trump Family (core),2024-02-21,0.0086710678527264
